name,ratings,date,helpful,comment,developer_comment
또해바라기,1,2020-05-30,280,장난하나요? 로그인 전에 상품 볼땐 오늘 도착이라고 그러더니 로그인하고 물건 사려니까 갑자기 3일 후에 도착이라고 하네요;;; 제가 잘못본건가 싶어서 다시 로그아웃하고 확인해보니 또 오늘 도착한다고 돼있습니다. 누구 놀리나요? 당일 배송이라고 사람 낚아서 물건 더 팔아보려는 속셈인가요? 다시는 안 씁니다,
성이름,5,2020-06-06,84,쿠팡 정말 좋습니다. 하지만 추가되었으면 하는게 있는데요.. 장바구니 용량 늘려주시면 안될까요? 70개 제한이라 다른거 넣을때마다 고민하고 지우고 넣고 맨날 반복이라 좀 그렇네요.. 장바구니 큰 용량 원하는 사람은 분할 다운로드를 해서 용량을 늘려주시거나 했으면 좋겠습니당,
오종애,4,2020-09-14,0,배송이빠르고 여러가지상품이있어 선택의 폭이넓어좋습니다,
솔이,1,2020-06-02,87,어플 켜지도않았는데 혼자서 열리거나 이미 열려서 실행되고있고 이게 한두번도 아니고 몇 수십번째 참다참다 못참고 리뷰남깁니다 오류인가요? 해결부탁드립니다.,
Cj,5,2020-04-22,11,삼품불량으로 환불했는데 처리가 정말 빨라요. 로켓배송제품이라서 그럴까요. 그리고 로켓와우는 계속사용할만한 것 같아요. 소비자입장에서는..정말 좋아요. 인상이 좋네요.,
tanks all,4,2020-05-20,142,쿠팡이라 진품만 파는게 아니네요... 짝퉁이라는 설명도 없고... 진짜 메이커인줄알고 구매를 했는데 레플이라네요... 명품을 좋아하지도 않고 사서 쓰지도 않아서 잘몰랐는데 선물할려고 사고나서 알아보니까... 짝퉁이네요... ㅠ,
김상윤,2,2020-05-04,11,"물건이 싸고 빨라서 좋은데요,저희 물건이 없어 졌다가 나타나고 계속 바뀌는데 이러면 물건을 못 팔잖아요.이점 꼭 수정 부탁드립니다.",
서규석,5,2020-04-11,16,필요한 물건 여기서 다 구입이 가능하니 정말 좋아요. 물건 명칭 을 잘 몰라도 비슷한 말 로 처도 잘 안 내되어 있어 편리해요! 감사합니다,
jiyeun han,4,2020-05-30,103,품절이 너무 많은데 품절 제외하고 보는 기능이 없네요;;; 탭 하나만 추가해주시면 좋을 것 같아여.. 친구들도 다들 너무 불편하데요,
kyung-sang Yu,1,2020-06-11,72,이거 설치하면 다른쪽 무단 광고로 이 어플이 뜨게되는 경우가 많고 로켓와우 멤버십 해지나 후기 보려면 어쩔수없이 설치하게 해놔서 설치는 하지만 좀 어처구니없고 짜증남 특히 광고 미동의말고 무단광고,
박찬수,5,2020-04-27,36,"♡배송이 빠르고 정확하고,결제또한 간결해서 쿠팡에서 필요한 물품구매 거의전부를 구입하고 잘 이용하고 있습니다.수고많이 해 주시는 쿠팡맨님께도 감사드립니다.",
응진숙,5,2020-07-14,3,쿠팡은 정확성과 빠른배송 친절한써비스로 고객한테 만족스런행복을전달해 주십니다 항상안전과 건강을지키며발전하길 응원합니다,
우상범,5,2020-10-01,0,쿠팡 배달분들 다들 힘네세요 저한텐는 쿠팡이 제일 빠른 앱 입니다^^~~,
최재숙,5,2020-07-14,5,"사용하기 편리하고, 가격도 양호하고, 배송도 빨라서 좋습니다",
이채현,3,2020-06-24,75,음...앱을 여는데 어제까지만 해도 잘 되던 앱이 갑자기 안되는 건 왜일까요? 삭제하고 다시 다운받아 열어봐도 안되네요. 심지어 웹페이지에서도 접속 불가라고 하는데 어찌된걸까요?,
위춘희,5,2020-06-20,94,정보의다양화와 다양한 상품 로켓배송 로겟프레시등 차별화된 서비스를 받을수있어서 만족합니다^^쿠팡확진이후로 해지했다가 다시 가입! 프레시상품은 좀 망설여집니다 일하시는분들 최우선으로 생각하시고 철저한 방역 점검 환경을 제공해주시면합니다 기사님들 노력과 빠른배송으로 성장하게 되었음을 꼭 기억하며 잊지마세요~~,
몽글몽글,1,2020-06-01,66,원래 이앱 엄청 좋다😍 했는데 이번에 엄청 실망이네요 당분간쓰지 않아야 겠어요.... 다른 쇼핑앱을 써야 겠네요...... 참 좋았는데... 충격이고 믿음이 깨지네요.......,
강정화,1,2020-07-14,4,편하다는 것에 의미를 두고 사용은 하지만 불량품을 팔고도 큰소리치는건 이해가 안된다 원래 제품불량인것을 고객탓으로 돌리기만 한다,
류길종,1,2020-04-28,15,"정말 최악입니다. 상품 보유되지도 않았느데, 판매글 올려서 신청하면, 수일 기다리게 하고 결국 배송도 못하고 소비자는 피해를 보았어도 보상없이 취소 마음되로 하고, 환불은 했줬다고 자기들은 잘못 없다고 자랑스럽게 말하는 회사 ㅠㅠ 다른물건 구매한지 11일째 또 기다리는중 ~ 언제 도착할지도 공지 없음. 그냥 오프라인에서 사는게 나음. 최악이네요~",
이동경,5,2020-07-06,32,이커머스는 모바일 앱이 전부다. 앱을 비교해보면 쿠팡이 이커머스 지배자가 된 건 로켓배송로 대표되는 SCM에서만 이유를 찾아서는 안 됨을 알 수 있다.,
nutcraker,1,2020-05-05,9,아니 구매할라고하면 로켓배송 상품추가하라고하고X누르면 구매창이꺼지고 로켓와우로 무료배송은 할라면 돈내야해서 X누르면 구매창이꺼지고 구매를 할수가없네 구매할수없는 쇼핑앱 별점 1개가 아깝네,
