name,ratings,date,title,comment
,5,2021-01-05,찜하기 기능 넣어주세요~~~~,"아이 보느라 오전오후에 장 볼 시간이 없어서 밤늦게 보면, 원하는 상품이 품절 돼있을 때가 많더라고요. 그래서 저는 개인적으로 메모에다가 장볼 상품 기록을 해두거든요. 찜하기 기능 있으면 이런 불편함이 줄어들어 더 편리하게 쇼핑할 수 있을거 같아요!"
,5,2020-01-23,배송도 상품도 최상,마켓컬리 이름만 듣고 이번에 처음 구매한 사람입니다  주문한 상품들은 다 만족하고 배송도 빨르고 너무 좋네요  바빠서 시장을 못 갈 시 밤11 시 전에 주문하면 다음날 7 시 전에 배송되는 점이 너무 편리하고 구매자로 시간이 절약되고 좋네요
,3,2020-09-05,어플이 튕겨요,안녕하세요. 평소 마켓컬리를 애용하고 있어요. 다름이아니라 몇일 전부터 카드결제 후 다시 마켓컬리 어플로 돌아오는 과정에서 계속 어플이 튕기면서 종료돼요. 핸드폰 종료 재부팅 업데이트 어플 삭제 재설치 모든걸 다해봤는데도 계속 그상태예요. 도대체 어떻게해야 결제할수있나요...하나둘씩 장바구니에 넣어놨던 품목들이 품절로 사라지네요. 답변 부탁드립니다.
,5,2021-02-20,"컬리 애용합니다. 추가됐으면 하는 기능이 ,,","컬리에서만 만나볼 수 있는 제품이 다양하게 있어서 컬리 애용하고 있습니다. 근데 컬리는 찜기능이 없어서,,, 매번 다시 제품을 찾기가 힘드네요 ㅠ 장바구니에 미리 담아두는걸로 찜 기능을 대체하는데,, 최종적으로 구매할 것과 헷갈리기도 하구요ㅠ"
,5,2020-12-26,요즘 컬리땜에 요리가 즐겁습니다,재료가 어떻게 그렇게 신선한가요..
,5,2019-12-12,너무만족합니다 최고!!!,당일 배송이 가능하다는 점과 필요한것을 낱개로도 저렴히 살수있고 무엇보다도 신선한 재료를 문앞에서 받아볼수있어서 너무 좋아요 한번씩 쿠폰도 보내주시고 저는 정말 만족합니다 사신분들 평점도 많이 도움이 되요~ 앞으로도 쭈욱 변함없는 마켓컬리를 응원합니다 감사합니다
,4,2020-06-09,마켓컬리 special해요,마켓컬리는 배송이 빠르고 특히 다양하고 가성비 좋은 소스류가 어느 대형마트보다 좋아요. 그런데 매력적인 식자재 종류가 더 많이 있었으면 좋겠어요
,5,2019-12-11,칭찬합니다,불만사항을 리뷰에 기재했을시 문자로  피드백이 비교적 빠른시간에 이루어져와 바로 확인할수있는점이 좋았습니다
,4,2020-04-02,"세 번째 이용인데, 만족합니다.^^","주로 생협에서 장을 보는데, 생협에 없는 것 또는 바로 필요한 재료가 있을 때 둘러보고 구매합니다. 글라스락이나 스텐락을 구매했었는데 보통 이런 거 구매할 때 고르는 데 시간이 많이 걸리지 마켓컬리에는 미리 선별된 것들 있어서 편리하고, 다른 곳과 가격 비교해 봤을 때 저렴하기도 합니다."
,5,2021-02-17,찜하기 기능,마켓컬리 잘 사용하고 있는 유저입니다 혹시 찜하기나 보관기능같은건 추가할 예정에 없나요??
,5,2021-01-26,신선한 상품을 바로,신선한 상품을 아침 일찍 빠르게 받아서 좋고
