name,ratings,date,title,comment
tiqmf12,5,2016-04-08,새댁인데~,블로그통해서 알게됬는데 마켓컬리 자주 애용해야 겠어요~~ 편리하게 신선한 재료 식품을 바로담날 아침에 배달까지 해주니 아주 유용하겠네요😉❤️
Mongsam,5,2016-04-09,이 편한세상~마켓캘리,마켓캘리 진짜 신세계지 말입니다
좋아요!!! 쾅쾅,5,2016-04-12,마켓컬리는 '건강' 입니다.,마켓컬리를 알고나서는 아침식단이 바뀌었습니다. 제품의 신선도며 배송이며 흠 잡을데가 없었죠~ 이제 앱까지 출시 되었으니 더더 이용이 편해질 듯 해요.
sykim2548,5,2016-04-25,마켓컬리 좋아요💕,앱구매후 리뷰작성은 처음이에요..!!
Ckckckckwndus,5,2016-04-28,마켓컬리 덕분에 우리 아기에게 안심하고 먹여요!,아기가 생기기 전에는 크게 먹거리에 신경을 많이 안썼는데 아기가 생기고 난 후 유기농인지 무항생제인지 그리고 신선도 등 꼼꼼히 따지게 되더라구요. 건강한 먹거리를 다루는 마켓컬리는 정말 믿고 주문합니다.
mandoo420,4,2016-04-28,덕분에 편하게 장보고 있어요.,작년 4월에 아기 낳고 장보는 것도 만만치 않은데 마켓컬리 덕분에 편히 장보게 되었어요. 특히 아기 이유식 시작하고는 이유식 재료 사는데 큰 도움이 되었습니다. 앞으로도 좋은 품질의 식재료 공수 부탁드려요. ^^
비욜2,4,2016-06-25,앱이 자꾸 먹통이 되요,제가 아이폰 5를 사용하는데
박두부,5,2016-03-02,마켓컬리 드디어 앱 출시!,너무나 애용하는 마켓컬리 드디어 앱출시가 되었군요. 더욱더 편하게 장 볼수 있을 것 같아서 기대됩니다. 번창하세요~ >_<
키키키키키카ㅣ,4,2016-03-02,마켓컬리 앱 출시되서 편리해졌어요,안그래더 마켓컬리는 앱 출시 안되나 하고 생각하고 있었는데... 드디어 앱으로 출시되서 굳이 컨퓨터를 트는 불편함이
testimo 이용자,5,2016-03-02,기다리던 앱이네요,항상 핸폰으로 구매하곤 했는데 이렇게 앱으로 나오니까 앞으로 더 이용 자주 하게 될것같네요! 앞으로 앱 전용 상품 및 할인쿠폰 등 많이 생겼으면 좋겠어요^^
시언지언mom,4,2016-03-02,출퇴근길 버스안에서도 쉽게 장보기!!!,넘 반가운 소식이네요!!! 지금도 사랑하는 컬리지만 바쁠때 버스에서 시킬때는 가끔 핸폰으로만 하기는 불편했는데 앱이 출시되니 이제 노프라블럼이네요^^
포오오노나너모,5,2016-03-02,드디어!!!,맨날 즐겨찾기해서봤는데 이제 수시로 올 수 있어서 좋아요^^아기가 있어서 컴퓨터 할 수 있는 시간도 없고 틈틈히 시간날때 장보니 편리해요
findmewhereiam,4,2016-03-12,모바일 편리하지만 개선 필요,서버 늘려주세요. 모바일용으로 보기 쉽게 :-) 결제가 너무 밀려서 힘들었네요.
맛있는 밥,5,2016-03-16,애용하는 마켓 컬리! 드디어 앱으로도 만나네요^^,하루에도 몇번씩 접속하는 컬리인데 드디어 앱이 출시되었네요. 이제 클릭 한번으로 편리하게 이용할 수 있겠어요. 앱출시 넘넘 반갑네요^^
sooy8eo,5,2016-04-09,새로운 라이프스타일,그야말로 신세계!
kangdal,5,2016-04-10,정말 좋은 어플이예요!!!!,저희 신랑이 요리사라 이런 재료들이 필요했어요 ㅠㅠ
hoononline,5,2016-04-22,최고지 말입니다!,15개월된 아이를 키우는 아빤데 지인을 통해 알게 되었네요
세상에서 제일 행복한 사람,2,2016-03-02,신경 쓰셔서 앱을 개발하셨으면 하네요,앱 나왔다는 문자 받고 설치하고
🐯74,5,2016-03-02,완전 좋아요~,지방이라 처음엔 구매가 안되더니 전국 배송이 시작되어 엄청 좋았는데 이렇게 앱까지 출시되니 더 쉽게 이용할 수 있겠네요~
쥐나,5,2016-03-02,애정하는 마켓컬리,마켓컬리 왕팬이에요
싸이코김양,1,2016-03-04,너무 기다렸던 마켓컬리 앱이지만,멤버십도 가입하고 평소에 자주 주문하는  곳이라 너무 기다렸던 어플 나오자마자 바로 다운 받았는데 너무 실망이 큽니다 버벅거려 제대로 사용할수조차 없고 모바일웹까지도 말썽이네요... 초반엔 완벽할순 없지만 이건 너무 심하네요.. 리뷰에 극찬하느라 바쁘신 분들 정말 사용은 해보고 리뷰쓰신건지 궁금할 따름입니다
seoyeonno1,5,2016-03-06,마켓컬리는 신세계!,마켓컬리를 알게된지 얼마 되지않았지만 꾸준히 시키고 있는데요. 앱이 나와서 더 편리하게 이용 할 수 있겠어요~ 앱 런칭 축하드리고 더더 번창하는 마켓컬리 되시길!
토요코하루코,5,2016-04-08,어플이 생기다니!,마켓컬리가 어플이 생겨서 너무 편리하고 좋습니다
Dear.Sohee,5,2016-04-10,간밤에 산타가 다녀갑니다.,아침에 문을 열면.. 빵이랑 야채가 기다리고 있어서 너무 좋아요.  자율적으로 일찍일어나게 되는;;;
건율맘,5,2016-04-13,기다리던 앱!,컴터를 떠나있을때 급히 주문 넣고싶을때 완전 딱이에요~매뉴얼도 컴에서 보던거랑 같으니 사용하기도 편하네요~~~^^
히힛kk,5,2016-04-20,넘좋아요!!,주문하면 새벽에 바로 도착해서 좋아요! 상품들도 마트보다 훨씬 싱싱하고 깔끔하고 저렴해요! 양도 소량이라 자취생들에게 좋은 것 같아요❤️
수주비,3,2017-05-26,속도개선 하셔야겠어요,주문 집중되는 시간엔 페이지가 잘 안뜨네요
크겨초제처ㅐ,4,2016-03-02,마켓컬리 앱 좋네요,마켓컬리 앱 기다렸어요! 웹의 깔끔함이 잘 옮겨진 것 같아 좋네요. 다만 아이폰에서 제품 상세 페이지에서 뒤로가기 버튼이 상세페이지 탑으로 가야만 나오는게 약간 불편합니다.
Jamiekkkk,5,2016-03-02,드디어!!,매일 즐겨찾기 통해서 장바구니를 채웠는데 드디어 앱이 출시되었네요!! 문자 오자마자 다운받고 응원글 남기고갑니다~~^^
Amyking,4,2016-03-11,드디어!,마켓컬리 앱이 나오길 엄청 기다렸는데 드디어 나왔네요! 아직 조금 느리긴 하지만 점차 나아지겠죠? 웹으로만 사용하다가 앱을 쓰니 너무 너무 좋아요.
